# ja/nein/Enthaltung/ungueltig/nichtabgegeben: votes cast in each category across all Abstimmungen in range
# total_votes: sum of the above
# ratio_*: category / total_votes (weighted per vote, so a day with many bundled votes counts more)
# days_present/days_total/days_absent: sitting days attended/total/missed
#   (a day counts as attended if the member cast a real vote on at least one Abstimmung that day)
# ratio_days_present/ratio_days_absent: days_present/days_absent divided by days_total (weighted per day, not per vote)
Fraktion/Gruppe;Vorname;Name;ja;nein;Enthaltung;ungültig;nichtabgegeben;total_votes;ratio_ja;ratio_nein;ratio_Enthaltung;ratio_ungültig;ratio_nichtabgegeben;days_present;days_total;days_absent;ratio_days_present;ratio_days_absent;slug
CDU/CSU;Thomas;Viesehon;15;5;0;0;0;20;0.75;0.25;0.0;0.0;0.0;7;7;0;1.0;0.0;thomas-viesehon
DIE LINKE.;Eva-Maria Elisabeth;Schreiber;5;35;0;0;0;40;0.125;0.875;0.0;0.0;0.0;15;15;0;1.0;0.0;eva-maria-elisabeth-schreiber
DIE LINKE.;André;Hahn;71;144;29;0;0;244;0.29098360655737704;0.5901639344262295;0.11885245901639344;0.0;0.0;101;101;0;1.0;0.0;andre-hahn
CDU/CSU;Wolfgang;Stefinger;162;82;0;0;0;244;0.6639344262295082;0.3360655737704918;0.0;0.0;0.0;101;101;0;1.0;0.0;wolfgang-stefinger
CDU/CSU;Tim;Ostermann;16;8;1;0;0;25;0.64;0.32;0.04;0.0;0.0;9;9;0;1.0;0.0;tim-ostermann
SPD;Dirk;Vöpel;164;80;0;0;0;244;0.6721311475409836;0.32786885245901637;0.0;0.0;0.0;101;101;0;1.0;0.0;dirk-vopel
AfD;Florian;Jäger;1;2;0;0;0;3;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;2;2;0;1.0;0.0;florian-jager
FDP;Johannes;Vogel (Lüdenscheid);8;3;0;0;0;11;0.7272727272727273;0.2727272727272727;0.0;0.0;0.0;3;3;0;1.0;0.0;johannes-vogel-ludenscheid
FDP;Katharina;Kloke;22;9;1;0;0;32;0.6875;0.28125;0.03125;0.0;0.0;11;11;0;1.0;0.0;katharina-kloke
SPD;Marja-Liisa;Völlers;164;80;0;0;0;244;0.6721311475409836;0.32786885245901637;0.0;0.0;0.0;101;101;0;1.0;0.0;marja-liisa-vollers
CDU/CSU;Susanne;Wetterich;3;0;0;0;0;3;1.0;0.0;0.0;0.0;0.0;2;2;0;1.0;0.0;susanne-wetterich
FDP;Konstantin Elias;Kuhle;8;3;0;0;0;11;0.7272727272727273;0.2727272727272727;0.0;0.0;0.0;3;3;0;1.0;0.0;konstantin-elias-kuhle
CDU/CSU;Sepp;Müller;162;81;1;0;0;244;0.6639344262295082;0.3319672131147541;0.004098360655737705;0.0;0.0;101;101;0;1.0;0.0;sepp-muller
DIE LINKE.;Zeki;Gökhan;0;3;0;0;0;3;0.0;1.0;0.0;0.0;0.0;2;2;0;1.0;0.0;zeki-gokhan
BÜ90/GR;Marcel;Emmerich;6;8;0;0;0;14;0.42857142857142855;0.5714285714285714;0.0;0.0;0.0;5;5;0;1.0;0.0;marcel-emmerich
AfD;Joana Eleonora;Cotar;4;7;0;0;0;11;0.36363636363636365;0.6363636363636364;0.0;0.0;0.0;3;3;0;1.0;0.0;joana-eleonora-cotar
FDP;Mario;Brandenburg;26;13;1;0;0;40;0.65;0.325;0.025;0.0;0.0;15;15;0;1.0;0.0;mario-brandenburg
AfD;Michael;Espendiller;70;160;14;0;0;244;0.28688524590163933;0.6557377049180327;0.05737704918032787;0.0;0.0;101;101;0;1.0;0.0;michael-espendiller
SPD;Bernd;Rützel;164;80;0;0;0;244;0.6721311475409836;0.32786885245901637;0.0;0.0;0.0;101;101;0;1.0;0.0;bernd-rutzel
CDU/CSU;André;Berghegger;163;80;1;0;0;244;0.6680327868852459;0.32786885245901637;0.004098360655737705;0.0;0.0;101;101;0;1.0;0.0;andre-berghegger
CDU/CSU;Maika;Friemann-Jennert;22;13;0;0;0;35;0.6285714285714286;0.37142857142857144;0.0;0.0;0.0;12;12;0;1.0;0.0;maika-friemann-jennert
CDU/CSU;Kristina;Nordt;25;14;0;0;0;39;0.6410256410256411;0.358974358974359;0.0;0.0;0.0;14;14;0;1.0;0.0;kristina-nordt
SPD;Christoph;Matschie;164;80;0;0;0;244;0.6721311475409836;0.32786885245901637;0.0;0.0;0.0;101;101;0;1.0;0.0;christoph-matschie
CDU/CSU;Gero;Storjohann;163;81;0;0;0;244;0.6680327868852459;0.3319672131147541;0.0;0.0;0.0;101;101;0;1.0;0.0;gero-storjohann
CDU/CSU;Christoph;Ploß;162;81;1;0;0;244;0.6639344262295082;0.3319672131147541;0.004098360655737705;0.0;0.0;101;101;0;1.0;0.0;christoph-ploss
SPD;Jens;Zimmermann;163;81;0;0;0;244;0.6680327868852459;0.3319672131147541;0.0;0.0;0.0;101;101;0;1.0;0.0;jens-zimmermann
FDP;Sandra;Bubendorfer-Licht;55;39;12;0;1;107;0.514018691588785;0.3644859813084112;0.11214953271028037;0.0;0.009345794392523364;53;54;1;0.9814814814814815;0.018518518518518517;sandra-bubendorfer-licht
FDP;Torsten;Herbst;127;86;30;0;1;244;0.5204918032786885;0.3524590163934426;0.12295081967213115;0.0;0.004098360655737705;101;101;0;1.0;0.0;torsten-herbst
SPD;Dennis;Rohde;162;81;0;0;1;244;0.6639344262295082;0.3319672131147541;0.0;0.0;0.004098360655737705;101;101;0;1.0;0.0;dennis-rohde
CDU/CSU;Tobias;Zech;32;10;0;0;1;43;0.7441860465116279;0.23255813953488372;0.0;0.0;0.023255813953488372;28;29;1;0.9655172413793104;0.034482758620689655;tobias-zech
AfD;Wolfgang;Wiehle;70;160;13;0;1;244;0.28688524590163933;0.6557377049180327;0.05327868852459016;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;wolfgang-wiehle
CDU/CSU;Tankred;Schipanski;164;79;0;0;1;244;0.6721311475409836;0.3237704918032787;0.0;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;tankred-schipanski
CDU/CSU;Sylvia;Pantel;145;95;3;0;1;244;0.5942622950819673;0.38934426229508196;0.012295081967213115;0.0;0.004098360655737705;101;101;0;1.0;0.0;sylvia-pantel
CDU/CSU;Hermann;Gröhe;163;80;0;0;1;244;0.6680327868852459;0.32786885245901637;0.0;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;hermann-grohe
CDU/CSU;Roderich;Kiesewetter;161;82;0;0;1;244;0.6598360655737705;0.3360655737704918;0.0;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;roderich-kiesewetter
BÜ90/GR;Matthias;Gastel;109;93;41;0;1;244;0.44672131147540983;0.38114754098360654;0.1680327868852459;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;matthias-gastel
BÜ90/GR;Stefan;Schmidt;118;93;32;0;1;244;0.48360655737704916;0.38114754098360654;0.13114754098360656;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;stefan-schmidt
CDU/CSU;Michael;Hennrich;163;80;0;0;1;244;0.6680327868852459;0.32786885245901637;0.0;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;michael-hennrich
CDU/CSU;Albert;Stegemann;164;79;0;0;1;244;0.6721311475409836;0.3237704918032787;0.0;0.0;0.004098360655737705;101;101;0;1.0;0.0;albert-stegemann
CDU/CSU;Melanie;Bernstein;164;79;0;0;1;244;0.6721311475409836;0.3237704918032787;0.0;0.0;0.004098360655737705;101;101;0;1.0;0.0;melanie-bernstein
CDU/CSU;Marc;Biadacz;165;78;0;0;1;244;0.6762295081967213;0.319672131147541;0.0;0.0;0.004098360655737705;101;101;0;1.0;0.0;marc-biadacz
CDU/CSU;Kordula;Kovac;25;13;0;0;1;39;0.6410256410256411;0.3333333333333333;0.0;0.0;0.02564102564102564;13;14;1;0.9285714285714286;0.07142857142857142;kordula-kovac
CDU/CSU;Klaus-Dieter;Gröhler;163;80;0;0;1;244;0.6680327868852459;0.32786885245901637;0.0;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;klaus-dieter-grohler
CDU/CSU;Bernd;Fabritius;24;14;0;0;1;39;0.6153846153846154;0.358974358974359;0.0;0.0;0.02564102564102564;13;14;1;0.9285714285714286;0.07142857142857142;bernd-fabritius
FDP;Christopher;Gohl;8;12;4;0;1;25;0.32;0.48;0.16;0.0;0.04;9;9;0;1.0;0.0;christopher-gohl
AfD;Marcus;Bühl;68;160;15;0;1;244;0.2786885245901639;0.6557377049180327;0.06147540983606557;0.0;0.004098360655737705;101;101;0;1.0;0.0;marcus-buhl
CDU/CSU;Ingrid;Pahlmann;94;42;0;0;1;137;0.6861313868613139;0.30656934306569344;0.0;0.0;0.0072992700729927005;64;65;1;0.9846153846153847;0.015384615384615385;ingrid-pahlmann
AfD;Fabian;Jacobi;71;154;18;0;1;244;0.29098360655737704;0.6311475409836066;0.07377049180327869;0.0;0.004098360655737705;101;101;0;1.0;0.0;fabian-jacobi
SPD;Heike;Baehrens;163;80;0;0;1;244;0.6680327868852459;0.32786885245901637;0.0;0.0;0.004098360655737705;101;101;0;1.0;0.0;heike-baehrens
AfD;Albrecht Heinz Erhard;Glaser;3;7;0;0;1;11;0.2727272727272727;0.6363636363636364;0.0;0.0;0.09090909090909091;3;3;0;1.0;0.0;albrecht-heinz-erhard-glaser
CDU/CSU;Dietrich;Monstadt;163;80;0;0;1;244;0.6680327868852459;0.32786885245901637;0.0;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;dietrich-monstadt
CDU/CSU;Georg;Kippels;163;80;0;0;1;244;0.6680327868852459;0.32786885245901637;0.0;0.0;0.004098360655737705;100;101;1;0.9900990099009901;0.009900990099009901;georg-kippels
FDP;Martin;Neumann (Lausitz);130;89;23;0;2;244;0.5327868852459017;0.36475409836065575;0.0942622950819672;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;martin-neumann-lausitz
CDU/CSU;Wilfried;Oellers;161;81;0;0;2;244;0.6598360655737705;0.3319672131147541;0.0;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;wilfried-oellers
SPD;Katrin;Budde;162;80;0;0;2;244;0.6639344262295082;0.32786885245901637;0.0;0.0;0.00819672131147541;101;101;0;1.0;0.0;katrin-budde
CDU/CSU;Markus;Koob;162;80;0;0;2;244;0.6639344262295082;0.32786885245901637;0.0;0.0;0.00819672131147541;99;101;2;0.9801980198019802;0.019801980198019802;markus-koob
CDU/CSU;Michael;Donth;163;79;0;0;2;244;0.6680327868852459;0.3237704918032787;0.0;0.0;0.00819672131147541;99;101;2;0.9801980198019802;0.019801980198019802;michael-donth
FDP;Christine;Aschenberg-Dugnus;131;86;25;0;2;244;0.5368852459016393;0.3524590163934426;0.10245901639344263;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;christine-aschenberg-dugnus
BÜ90/GR;Erhard;Grundl;102;108;32;0;2;244;0.4180327868852459;0.4426229508196721;0.13114754098360656;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;erhard-grundl
BÜ90/GR;Canan;Bayram;85;132;25;0;2;244;0.3483606557377049;0.5409836065573771;0.10245901639344263;0.0;0.00819672131147541;101;101;0;1.0;0.0;canan-bayram
CDU/CSU;Hansjörg;Durz;164;78;0;0;2;244;0.6721311475409836;0.319672131147541;0.0;0.0;0.00819672131147541;99;101;2;0.9801980198019802;0.019801980198019802;hansjorg-durz
SPD;Ingrid;Arndt-Brauer;161;81;0;0;2;244;0.6598360655737705;0.3319672131147541;0.0;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;ingrid-arndt-brauer
SPD;Isabel;Mackensen-Geis;10;2;0;0;2;14;0.7142857142857143;0.14285714285714285;0.0;0.0;0.14285714285714285;4;5;1;0.8;0.2;isabel-mackensen-geis
CDU/CSU;Peter;Aumer;162;80;0;0;2;244;0.6639344262295082;0.32786885245901637;0.0;0.0;0.00819672131147541;99;101;2;0.9801980198019802;0.019801980198019802;peter-aumer
FDP;Jens;Brandenburg (Rhein-Neckar);127;90;25;0;2;244;0.5204918032786885;0.36885245901639346;0.10245901639344263;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;jens-brandenburg-rhein-neckar
DIE LINKE.;Gesine;Lötzsch;72;145;25;0;2;244;0.29508196721311475;0.5942622950819673;0.10245901639344263;0.0;0.00819672131147541;99;101;2;0.9801980198019802;0.019801980198019802;gesine-lotzsch
CDU/CSU;Patrick;Sensburg;162;80;0;0;2;244;0.6639344262295082;0.32786885245901637;0.0;0.0;0.00819672131147541;101;101;0;1.0;0.0;patrick-sensburg
CDU/CSU;Alois;Karl;163;79;0;0;2;244;0.6680327868852459;0.3237704918032787;0.0;0.0;0.00819672131147541;99;101;2;0.9801980198019802;0.019801980198019802;alois-karl
FDP;Wieland;Schinnenburg;126;90;26;0;2;244;0.5163934426229508;0.36885245901639346;0.10655737704918032;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;wieland-schinnenburg
CDU/CSU;Stefan;Sauer;161;81;0;0;2;244;0.6598360655737705;0.3319672131147541;0.0;0.0;0.00819672131147541;101;101;0;1.0;0.0;stefan-sauer
SPD;Elvan;Korkmaz;66;38;7;0;2;113;0.584070796460177;0.336283185840708;0.061946902654867256;0.0;0.017699115044247787;36;37;1;0.972972972972973;0.02702702702702703;elvan-korkmaz
CDU/CSU;Matthias;Heider;162;80;0;0;2;244;0.6639344262295082;0.32786885245901637;0.0;0.0;0.00819672131147541;100;101;1;0.9900990099009901;0.009900990099009901;matthias-heider
