# ja/nein/Enthaltung/ungueltig/nichtabgegeben: votes cast in each category across all Abstimmungen in range
# total_votes: sum of the above
# ratio_*: category / total_votes (weighted per vote, so a day with many bundled votes counts more)
# days_present/days_total/days_absent: sitting days attended/total/missed
#   (a day counts as attended if the member cast a real vote on at least one Abstimmung that day)
# ratio_days_present/ratio_days_absent: days_present/days_absent divided by days_total (weighted per day, not per vote)
Fraktion/Gruppe;Vorname;Name;ja;nein;Enthaltung;ungültig;nichtabgegeben;total_votes;ratio_ja;ratio_nein;ratio_Enthaltung;ratio_ungültig;ratio_nichtabgegeben;days_present;days_total;days_absent;ratio_days_present;ratio_days_absent;slug
CDU/CSU;Oliver;Vogt;104;77;2;0;0;183;0.5683060109289617;0.4207650273224044;0.01092896174863388;0.0;0.0;87;87;0;1.0;0.0;oliver-vogt
FDP;Konrad;Stockmeier;134;48;1;0;0;183;0.73224043715847;0.26229508196721313;0.00546448087431694;0.0;0.0;87;87;0;1.0;0.0;konrad-stockmeier
SPD;Oliver;Kaczmarek;134;49;0;0;0;183;0.73224043715847;0.2677595628415301;0.0;0.0;0.0;87;87;0;1.0;0.0;oliver-kaczmarek
CDU/CSU;Astrid;Mannes;32;18;1;0;0;51;0.6274509803921569;0.35294117647058826;0.0196078431372549;0.0;0.0;25;25;0;1.0;0.0;astrid-mannes
SPD;Nadine;Ruf;36;15;0;0;0;51;0.7058823529411765;0.29411764705882354;0.0;0.0;0.0;25;25;0;1.0;0.0;nadine-ruf
SPD;Andreas;Philippi;57;18;0;0;0;75;0.76;0.24;0.0;0.0;0.0;31;31;0;1.0;0.0;andreas-philippi
SPD;Angela;Hohmann;30;12;0;0;0;42;0.7142857142857143;0.2857142857142857;0.0;0.0;0.0;20;20;0;1.0;0.0;angela-hohmann
SPD;Anja;Troff-Schaffarzyk;134;49;0;0;0;183;0.73224043715847;0.2677595628415301;0.0;0.0;0.0;87;87;0;1.0;0.0;anja-troff-schaffarzyk
BÜ90/GR;Uwe;Kekeritz;6;6;1;0;0;13;0.46153846153846156;0.46153846153846156;0.07692307692307693;0.0;0.0;6;6;0;1.0;0.0;uwe-kekeritz
SPD;Brian;Nickholz;134;49;0;0;0;183;0.73224043715847;0.2677595628415301;0.0;0.0;0.0;87;87;0;1.0;0.0;brian-nickholz
SPD;Martin;Rabanus;36;15;0;0;0;51;0.7058823529411765;0.29411764705882354;0.0;0.0;0.0;25;25;0;1.0;0.0;martin-rabanus
BÜ90/GR;Matthias;Gastel;133;49;1;0;0;183;0.726775956284153;0.2677595628415301;0.00546448087431694;0.0;0.0;87;87;0;1.0;0.0;matthias-gastel
SPD;Daniel;Rinkert;100;36;0;0;0;136;0.7352941176470589;0.2647058823529412;0.0;0.0;0.0;67;67;0;1.0;0.0;daniel-rinkert
BÜ90/GR;Maik;Außendorf;133;49;1;0;0;183;0.726775956284153;0.2677595628415301;0.00546448087431694;0.0;0.0;87;87;0;1.0;0.0;maik-aussendorf
SPD;Lucia;Schanbacher;6;5;0;0;0;11;0.5454545454545454;0.45454545454545453;0.0;0.0;0.0;4;4;0;1.0;0.0;lucia-schanbacher
SPD;Dirk;Vöpel;133;50;0;0;0;183;0.726775956284153;0.273224043715847;0.0;0.0;0.0;87;87;0;1.0;0.0;dirk-vopel
AfD;Volker;Münz;8;15;2;0;0;25;0.32;0.6;0.08;0.0;0.0;8;8;0;1.0;0.0;volker-munz
BÜ90/GR;Katrin;Uhlig;133;48;2;0;0;183;0.726775956284153;0.26229508196721313;0.01092896174863388;0.0;0.0;87;87;0;1.0;0.0;katrin-uhlig
BÜ90/GR;Jürgen;Kretz;33;13;1;0;0;47;0.7021276595744681;0.2765957446808511;0.02127659574468085;0.0;0.0;22;22;0;1.0;0.0;jurgen-kretz
SPD;Emily;Vontz;76;32;0;0;0;108;0.7037037037037037;0.2962962962962963;0.0;0.0;0.0;56;56;0;1.0;0.0;emily-vontz
BÜ90/GR;Johannes F.;Kretschmann;6;5;0;0;0;11;0.5454545454545454;0.45454545454545453;0.0;0.0;0.0;4;4;0;1.0;0.0;johannes-f-kretschmann
SPD;Jörg;Nürnberger;134;49;0;0;0;183;0.73224043715847;0.2677595628415301;0.0;0.0;0.0;87;87;0;1.0;0.0;jorg-nurnberger
BÜ90/GR;Franziska;Krumwiede-Steiner;29;12;1;0;0;42;0.6904761904761905;0.2857142857142857;0.023809523809523808;0.0;0.0;20;20;0;1.0;0.0;franziska-krumwiede-steiner
SPD;Jens;Peick;134;49;0;0;0;183;0.73224043715847;0.2677595628415301;0.0;0.0;0.0;87;87;0;1.0;0.0;jens-peick
FDP;Katharina;Willkomm;54;21;1;0;0;76;0.7105263157894737;0.27631578947368424;0.013157894736842105;0.0;0.0;40;40;0;1.0;0.0;katharina-willkomm
FDP;Jens;Beeck;133;48;2;0;0;183;0.726775956284153;0.26229508196721313;0.01092896174863388;0.0;0.0;87;87;0;1.0;0.0;jens-beeck
SPD;Matthias David;Mieves;134;49;0;0;0;183;0.73224043715847;0.2677595628415301;0.0;0.0;0.0;87;87;0;1.0;0.0;matthias-david-mieves
CDU/CSU;Matthias;Hauer;104;77;2;0;0;183;0.5683060109289617;0.4207650273224044;0.01092896174863388;0.0;0.0;87;87;0;1.0;0.0;matthias-hauer
Die Linke;Petra;Sitte;44;117;22;0;0;183;0.24043715846994534;0.639344262295082;0.12021857923497267;0.0;0.0;87;87;0;1.0;0.0;petra-sitte
SPD;Tim;Klüssendorf;134;49;0;0;0;183;0.73224043715847;0.2677595628415301;0.0;0.0;0.0;87;87;0;1.0;0.0;tim-klussendorf
SPD;Ulrike;Bahr;131;52;0;0;0;183;0.7158469945355191;0.28415300546448086;0.0;0.0;0.0;87;87;0;1.0;0.0;ulrike-bahr
CDU/CSU;Peter;Aumer;104;77;2;0;0;183;0.5683060109289617;0.4207650273224044;0.01092896174863388;0.0;0.0;87;87;0;1.0;0.0;peter-aumer
CDU/CSU;Ursula;Groden-Kranich;1;2;0;0;0;3;0.3333333333333333;0.6666666666666666;0.0;0.0;0.0;1;1;0;1.0;0.0;ursula-groden-kranich
CDU/CSU;Ingrid;Pahlmann;35;19;1;0;0;55;0.6363636363636364;0.34545454545454546;0.01818181818181818;0.0;0.0;28;28;0;1.0;0.0;ingrid-pahlmann
SPD;Tina;Rudolph;132;51;0;0;0;183;0.7213114754098361;0.2786885245901639;0.0;0.0;0.0;87;87;0;1.0;0.0;tina-rudolph
SPD;Detlef;Müller (Chemnitz);133;49;0;0;1;183;0.726775956284153;0.2677595628415301;0.0;0.0;0.00546448087431694;87;87;0;1.0;0.0;detlef-muller-chemnitz
AfD;Wolfgang;Wiehle;45;121;16;0;1;183;0.2459016393442623;0.6612021857923497;0.08743169398907104;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;wolfgang-wiehle
SPD;Fabian;Funke;131;51;0;0;1;183;0.7158469945355191;0.2786885245901639;0.0;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;fabian-funke
BÜ90/GR;Stefan;Schmidt;132;49;1;0;1;183;0.7213114754098361;0.2677595628415301;0.00546448087431694;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;stefan-schmidt
BÜ90/GR;Nina;Stahr;102;37;1;0;1;141;0.723404255319149;0.2624113475177305;0.0070921985815602835;0.0;0.0070921985815602835;66;67;1;0.9850746268656716;0.014925373134328358;nina-stahr
FDP;Fabian;Griewel;16;8;0;0;1;25;0.64;0.32;0.0;0.0;0.04;8;8;0;1.0;0.0;fabian-griewel
SPD;Carsten;Träger;133;49;0;0;1;183;0.726775956284153;0.2677595628415301;0.0;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;carsten-trager
BÜ90/GR;Renate;Künast;132;49;1;0;1;183;0.7213114754098361;0.2677595628415301;0.00546448087431694;0.0;0.00546448087431694;87;87;0;1.0;0.0;renate-kunast
CDU/CSU;Lars;Rohwer;101;78;3;0;1;183;0.5519125683060109;0.4262295081967213;0.01639344262295082;0.0;0.00546448087431694;87;87;0;1.0;0.0;lars-rohwer
SPD;Falko;Mohrs;37;15;0;0;1;53;0.6981132075471698;0.2830188679245283;0.0;0.0;0.018867924528301886;22;23;1;0.9565217391304348;0.043478260869565216;falko-mohrs
BÜ90/GR;Sascha;Müller;132;49;1;0;1;183;0.7213114754098361;0.2677595628415301;0.00546448087431694;0.0;0.00546448087431694;86;87;1;0.9885057471264368;0.011494252873563218;sascha-muller
CDU/CSU;Melanie;Bernstein;64;42;1;0;1;108;0.5925925925925926;0.3888888888888889;0.009259259259259259;0.0;0.009259259259259259;55;56;1;0.9821428571428571;0.017857142857142856;melanie-bernstein
BÜ90/GR;Niklas;Wagener;133;48;1;0;1;183;0.726775956284153;0.26229508196721313;0.00546448087431694;0.0;0.00546448087431694;87;87;0;1.0;0.0;niklas-wagener
SPD;Bettina;Hagedorn;133;49;0;0;1;183;0.726775956284153;0.2677595628415301;0.0;0.0;0.00546448087431694;87;87;0;1.0;0.0;bettina-hagedorn
